@relation 'APFNBTraining-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16'

@attribute E30 numeric
@attribute E60 numeric
@attribute E90 numeric
@attribute E+90 numeric
@attribute MoraMaxima numeric
@attribute ESTRATO {1,2,3,4,5,6}
@attribute DeudaCorrienteNoVencida numeric
@attribute DeudaCorrienteVencida numeric
@attribute SaldoDiferido numeric
@attribute CantHistoriaRefi numeric
@attribute CantRefiUltimoAño numeric
@attribute Vetado {0,1}
@attribute Refinanciado {0,1}
@attribute NumeroSuspensiones numeric
@attribute NumeroReconexiones numeric
@attribute 90 {0,1}

@data
1,0,0,0,16,2,0,71731,1694765,0,0,0,0,0,0,0
3,0,0,0,4,2,0,74733,1184009,0,0,0,0,0,0,0
11,0,0,0,20,3,115322,116319,1812644,0,0,0,0,0,0,0
10,0,0,0,10,1,0,89455,417173,0,0,0,0,0,0,0
1,0,0,0,10,1,0,135335,748103,0,0,0,0,0,0,0
2,0,0,0,18,2,183595,182332,1113381,0,0,0,0,0,0,0
11,0,0,0,25,1,89096,88734,483755,0,0,0,0,0,0,0
4,0,0,0,26,1,53380,53988,51705,0,0,0,0,0,0,0
10,0,0,0,17,2,0,205612,197360,0,0,0,0,0,0,0
7,3,0,0,45,3,0,33166,573790,1,0,0,1,0,0,0
3,0,0,0,9,2,0,77305,736940,0,0,0,0,0,0,0
9,0,0,0,7,1,0,56181,1284490,0,0,0,0,0,0,0
3,0,0,0,13,2,0,89550,515077,0,0,0,0,0,0,0
12,0,0,0,17,2,0,46994,173198,0,0,0,0,0,0,0
6,0,0,0,9,2,0,86458,0,0,0,0,0,0,0,0
6,0,0,0,14,1,0,75675,355291,0,0,0,0,0,0,0
4,0,0,0,18,1,50644,50499,1105913,0,0,0,0,0,0,0
9,1,0,0,31,1,150158,149927,1890577,0,0,0,0,0,0,0
13,0,0,0,18,1,184632,184688,1138741,0,0,0,0,0,0,0
7,3,1,0,81,1,114335,113719,321189,1,1,0,1,0,0,0
7,4,1,0,69,2,0,61096,1433454,1,1,0,1,0,0,0
5,0,0,0,10,1,0,212854,1882123,0,0,0,0,0,0,0
11,1,0,0,50,3,0,151377,1969898,0,0,0,0,0,0,0
1,0,0,0,4,1,0,237188,5569534,0,0,0,0,0,0,0
